#   M	    K	    N	     v33
 2304	  256	 1024	0.008426
 2304	  256	 1280	0.008525
 2304	  256	 1536	0.008412
 2304	  256	 1792	0.008756
 2304	  256	 2048	0.013260
 2304	  256	 2304	0.013123
 2304	  256	 2560	0.016853
 2304	  256	 2816	0.015222
 2304	  256	 3072	0.015448
 2304	  256	 3328	0.017266
 2304	  256	 3584	0.015914
 2304	  256	 3840	0.020632
 2304	  256	 4096	0.020976
 2560	  256	  256	0.005463
 2560	  256	  512	0.006443
 2560	  256	  768	0.006540
 2560	  256	 1024	0.008589
 2560	  256	 1280	0.008403
 2560	  256	 1536	0.008723
 2560	  256	 1792	0.012972
 2560	  256	 2048	0.013072
 2560	  256	 2304	0.013267
 2560	  256	 2560	0.015196
 2560	  256	 2816	0.015461
 2560	  256	 3072	0.015634
 2560	  256	 3328	0.016440
 2560	  256	 3584	0.020098
 2560	  256	 3840	0.020582
 2560	  256	 4096	0.021120
 2816	  256	  256	0.005469
 2816	  256	  512	0.006358
 2816	  256	  768	0.006506
 2816	  256	 1024	0.008515
 2816	  256	 1280	0.008452
 2816	  256	 1536	0.008818
 2816	  256	 1792	0.013405
 2816	  256	 2048	0.013264
 2816	  256	 2304	0.015332
 2816	  256	 2560	0.017976
 2816	  256	 2816	0.016159
 2816	  256	 3072	0.016775
 2816	  256	 3328	0.020206
 2816	  256	 3584	0.020694
 2816	  256	 3840	0.022352
 2816	  256	 4096	0.022928
 3072	  256	  256	0.005455
 3072	  256	  512	0.006396
 3072	  256	  768	0.008952
 3072	  256	 1024	0.007994
 3072	  256	 1280	0.008546
 3072	  256	 1536	0.012963
 3072	  256	 1792	0.014385
 3072	  256	 2048	0.013818
 3072	  256	 2304	0.015458
 3072	  256	 2560	0.015636
 3072	  256	 2816	0.016654
 3072	  256	 3072	0.020234
 3072	  256	 3328	0.021054
 3072	  256	 3584	0.022583
 3072	  256	 3840	0.022819
 3072	  256	 4096	0.023598
 3328	  256	  256	0.005479
 3328	  256	  512	0.006456
 3328	  256	  768	0.008663
 3328	  256	 1024	0.008338
 3328	  256	 1280	0.008782
 3328	  256	 1536	0.013373
 3328	  256	 1792	0.013315
 3328	  256	 2048	0.015827
 3328	  256	 2304	0.018622
 3328	  256	 2560	0.016400
 3328	  256	 2816	0.020250
 3328	  256	 3072	0.021095
 3328	  256	 3328	0.022538
 3328	  256	 3584	0.025674
 3328	  256	 3840	0.023702
 3328	  256	 4096	0.027312
 3584	  256	  256	0.005338
 3584	  256	  512	0.006552
 3584	  256	  768	0.008441
 3584	  256	 1024	0.008406
 3584	  256	 1280	0.012982
