#   M	    K	    N	    v3.3	  no_tma	 dev_tma	host_tma
 1792	  256	 2304	0.008715	0.008700	0.009683	0.006835
 1792	  256	 2560	0.012976	0.011911	0.013713	0.007848
 1792	  256	 2816	0.013363	0.011821	0.013934	0.007919
 1792	  256	 3072	0.013182	0.011984	0.014912	0.008360
 1792	  256	 3328	0.013744	0.012129	0.015737	0.009026
 1792	  256	 3584	0.014126	0.012361	0.016134	0.009412
 1792	  256	 3840	0.015831	0.014826	0.016478	0.010869
 1792	  256	 4096	0.015440	0.014770	0.016809	0.011513
 2048	  256	  256	0.004825	0.004074	0.005694	0.003086
 2048	  256	  512	0.005449	0.005359	0.006355	0.003742
 2048	  256	  768	0.006451	0.005629	0.007956	0.004357
 2048	  256	 1024	0.006540	0.005823	0.007330	0.004559
 2048	  256	 1280	0.008551	0.007798	0.008986	0.005326
 2048	  256	 1536	0.008412	0.007786	0.009001	0.005889
 2048	  256	 1792	0.008432	0.008477	0.009264	0.006869
 2048	  256	 2048	0.008791	0.008466	0.009424	0.006774
 2048	  256	 2304	0.012983	0.011890	0.013717	0.007998
 2048	  256	 2560	0.013107	0.011894	0.014156	0.007992
 2048	  256	 2816	0.013224	0.012000	0.015448	0.008778
 2048	  256	 3072	0.013803	0.012287	0.016170	0.009200
 2048	  256	 3328	0.015340	0.014703	0.016609	0.010733
 2048	  256	 3584	0.015483	0.014829	0.016939	0.011368
 2048	  256	 3840	0.015595	0.014929	0.017341	0.011765
 2048	  256	 4096	0.016016	0.015089	0.017727	0.012109
 2304	  256	  256	0.005462	0.005349	0.005955	0.003554
 2304	  256	  512	0.006387	0.005418	0.006931	0.004387
 2304	  256	  768	0.006416	0.005674	0.007138	0.004462
 2304	  256	 1024	0.008426	0.007939	0.008929	0.005420
 2304	  256	 1280	0.008525	0.007718	0.009049	0.005515
 2304	  256	 1536	0.008412	0.008185	0.009218	0.006922
 2304	  256	 1792	0.008756	0.008408	0.009664	0.007167
 2304	  256	 2048	0.013260	0.011927	0.013820	0.007957
 2304	  256	 2304	0.013123	0.012044	0.014473	0.008080
 2304	  256	 2560	0.016853	0.012497	0.015581	0.008970
 2304	  256	 2816	0.015222	0.012377	0.016151	0.009281
 2304	  256	 3072	0.015448	0.014859	0.016654	0.011477
 2304	  256	 3328	0.017266	0.014872	0.017091	0.011642
 2304	  256	 3584	0.015914	0.015144	0.017594	0.011871
 2304	  256	 3840	0.020632	0.018487	0.020756	0.013113
 2304	  256	 4096	0.020976	0.018805	0.021712	0.013984
 2560	  256	  256	0.005463	0.005176	0.005862	0.003641
 2560	  256	  512	0.006443	0.005523	0.007128	0.004423
